"Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Bakedu",8.28,-9.63,618490,20000819,78.8,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Bong","Gbatala",6.88,-9.67,618490,20000819,78.8,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Lofa County",7.91,-10,618490,20000819,78.8,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20000819,78.8,"NZEREKORE",-8.3,7.75,"C"
2005,"Riots","Protesters","Civilians (Liberia)","Liberia","Grand Bassa","Buchanan",5.88,-10.04,656600,20050806,78.8,"ROBERTS FIELD",-10.35,6.25,"C"
2008,"Riots","Protesters","Police Forces of Liberia (2005-)","Liberia","Nimba","Tapita",6.48,-8.85,655600,20080212,78.8,"DALOA",-6.46,6.86,"C"
2008,"Riots","UNMIL: United Nations Mission in Liberia","Police Forces of Liberia (2003-2005)","Liberia","Montserrado","Bushrod Island",6.34,-10.77,656600,20080227,78.8,"ROBERTS FIELD",-10.35,6.25,"C"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,20010725,79,"NZEREKORE",-8.3,7.75,"C"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,20010725,79,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","JFLL: Joint Forces for the Liberation of Liberia","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,19990811,79.19,"NZEREKORE",-8.3,7.75,"C"
1999,"Violence against civilians","Civilians (Liberia)","JFLL: Joint Forces for the Liberation of Liberia","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,19990811,79.19,"NZEREKORE",-8.3,7.75,"C"
1997,"Battles","NPFL: National Patriotic Front Liberia","UP: Unity Party (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,19970620,79.69,"NZEREKORE",-8.3,7.75,"C"
1997,"Battles","NPFL: National Patriotic Front Liberia","UP: Unity Party (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,19970620,79.69,"NZEREKORE",-8.3,7.75,"C"
1997,"Battles","NPFL: National Patriotic Front Liberia","UP: Unity Party (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,19970620,79.69,"NZEREKORE",-8.3,7.75,"C"
1997,"Battles","NPFL: National Patriotic Front Liberia","UP: Unity Party (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,19970620,79.69,"NZEREKORE",-8.3,7.75,"C"
1997,"Battles","NPFL: National Patriotic Front Liberia","UP: Unity Party (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,19970620,79.69,"NZEREKORE",-8.3,7.75,"C"
1997,"Battles","NPFL: National Patriotic Front Liberia","UP: Unity Party (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,19970620,79.69,"NZEREKORE",-8.3,7.75,"C"
1997,"Battles","NPFL: National Patriotic Front Liberia","UP: Unity Party (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,19970620,79.69,"NZEREKORE",-8.3,7.75,"C"
1997,"Riots","Police Forces of Liberia (1997-2003)","Protesters (Liberia)","Liberia","Montserrado","Harbel",6.28,-10.35,655480,19970906,79.69,"MAN",-7.51,7.38,"C"
1999,"Battles","ULIMO J","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,19990813,79.69,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","JFLL: Joint Forces for the Liberation of Liberia","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,19990813,79.69,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Bakedu",8.28,-9.63,655480,20000804,79.69,"MAN",-7.51,7.38,"C"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Bopolu",7.06,-10.48,618490,20020831,79.69,"NZEREKORE",-8.3,7.75,"C"
2004,"Violence against civilians","Civilians (Gambia)","Unidentified Armed Group (Gambia)","Gambia","Banjul","Banjul",13.45,-16.57,617010,20041217,79.69,"BANJUL/YUNDUM",-16.63,13.19,"C"
2009,"Riots","Rioters (Guinea)","Police Forces of Guinea (2008-)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090827,79.69,"CONAKRY/GBESSIA",-13.61,9.56,"C"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Grand Gedeh","Swe Creek",6.32,-8.68,655480,20020523,79.9,"MAN",-7.51,7.38,"C"
2003,"Battles","Gio and Mano Tribesmen (Pro-Taylor Militia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030809,79.9,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Gio and Mano Tribesmen (Pro-Taylor Militia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030809,79.9,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","Gio and Mano Tribesmen (Pro-Taylor Militia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030809,79.9,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Gio and Mano Tribesmen (Pro-Taylor Militia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030809,79.9,"NZEREKORE",-8.3,7.75,"C"
1999,"Violence against civilians","Military Forces  of Liberia (1997-2003)","Civilians (Guinea)","Guinea","Nzerekore","Macenta",8.55,-9.47,655280,19990831,80.59,"ODIENNE",-7.56,9.5,"C"
2000,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Liberia)","Guinea","Nzerekore","Ndeleou",8.51,-9.69,618490,20000925,80.59,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Liberia)","Guinea","Nzerekore","Ndeleou",8.51,-9.69,618490,20000925,80.59,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","Civilians (Guinea)","Unidentified Armed Group (Liberia)","Guinea","Nzerekore","Ndeleou",8.51,-9.69,618490,20000925,80.59,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","Civilians (Guinea)","Unidentified Armed Group (Liberia)","Guinea","Nzerekore","Ndeleou",8.51,-9.69,618490,20000925,80.59,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Guinea)","Guinea","Kindia","Forecariah",9.43,-13.09,618320,20001012,80.59,"CONAKRY/GBESSIA",-13.61,9.56,"C"
2000,"Battles","Unidentified Armed Group (Sierra Leone)","Military Forces of Guinea (1984-2008)","Guinea","Kindia","Pamalap",9.18,-12.97,618320,20001012,80.59,"CONAKRY/GBESSIA",-13.61,9.56,"C"
2000,"Battles","RUF: Revolutionary United Front of Sierra Leone","Military Forces of Guinea (1984-2008)","Guinea","Kindia","Sombouya",10.18,-13.97,618320,20001113,80.59,"CONAKRY/GBESSIA",-13.61,9.56,"C"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Gbapolu","Belle Fassamah",7.52,-9.99,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Belle Forest",7.33,-9.83,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Gbapolu","Belleh Yalleh",7.37,-9.99,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Gbapolu","Fassama",7.51,-10,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Gbapolu","Fassama",7.51,-10,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Gbapolu","Belle Balorma",7.57,-9.97,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Gbapolu","Belle Balorma",7.57,-9.97,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Gbapolu","Belle Fassamah",7.52,-9.99,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Gbapolu","Belle Fassamah",7.52,-9.99,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Gbapolu","Fassama",7.51,-10,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2001,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Gbapolu","Fassama",7.51,-10,618490,20011205,80.59,"NZEREKORE",-8.3,7.75,"C"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","RUF: Revolutionary United Front of Sierra Leone","Liberia","Lofa County","Kolahun",8.28,-10.08,618340,20020818,80.59,"KISSIDOUGOU",-10.13,9.41,"C"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","RUF: Revolutionary United Front of Sierra Leone","Liberia","Lofa County","Kolahun",8.28,-10.08,618340,20020818,80.59,"KISSIDOUGOU",-10.13,9.41,"C"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Voinjama",8.42,-9.75,618340,20020818,80.59,"KISSIDOUGOU",-10.13,9.41,"C"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","RUF: Revolutionary United Front of Sierra Leone","Liberia","Lofa County","Kolahun",8.28,-10.08,618340,20020818,80.59,"KISSIDOUGOU",-10.13,9.41,"C"
2002,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Paynesville",6.28,-10.72,618490,20020823,80.59,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","Military Forces of Liberia (1997-2003)","MODEL: Movement for Democracy in Liberia","Liberia","Nimba","Ganta",7.23,-8.98,655600,20030430,80.59,"DALOA",-6.46,6.86,"C"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20030608,80.59,"LUNGI",-13.19,8.61,"C"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (2003-2005)","Liberia","Lofa County","Bopolu",7.06,-10.48,618490,20030918,80.59,"NZEREKORE",-8.3,7.75,"C"
2004,"Battles","Christian Militia (Guinea)","Muslim Militia (Guinea)","Guinea","Nzerekore","Nzerekore",7.74,-8.82,618490,20040616,80.59,"NZEREKORE",-8.3,7.75,"C"
2006,"Riots","Protesters (Gambia)","","Gambia","Banjul","Banjul",13.45,-16.57,617010,20060731,80.59,"BANJUL/YUNDUM",-16.63,13.19,"C"
2007,"Battles","Military Forces of Guinea (1984-2008)","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Kindia","Kindia",10.06,-12.85,618180,20070508,80.59,"KINDIA",-12.86,10.05,"C"
2007,"Riots","","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Kindia","Kindia",10.06,-12.85,618180,20070508,80.59,"KINDIA",-12.86,10.05,"C"
2009,"Violence against civilians","Civilians (Guinea)","Military Forces of Guinea (2008-)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090715,80.59,"CONAKRY/GBESSIA",-13.61,9.56,"C"
2000,"Battles","RUF: Revolutionary United Front of Sierra Leone","Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618290,20001012,81,"KANKAN",-9.3,10.38,"C"
2000,"Battles","RUF: Revolutionary United Front of Sierra Leone","Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618290,20001012,81,"KANKAN",-9.3,10.38,"C"
2003,"Battles","Gio and Mano Tribesmen (Pro-Taylor Militia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030806,81,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Gio and Mano Tribesmen (Pro-Taylor Militia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030806,81,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030806,81,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","Gio and Mano Tribesmen (Pro-Taylor Militia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030812,81,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Gio and Mano Tribesmen (Pro-Taylor Militia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030812,81,"NZEREKORE",-8.3,7.75,"C"
2006,"Riots","Military Forces of Guinea (1984-2008)","Protesters (Guinea)","Guinea","Labe","Labe",11.31,-12.28,618090,20060606,81,"LABE",-12.3,11.31,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20030724,81.3,"LUNGI",-13.19,8.61,"C"
1999,"Battles","JFLL: Joint Forces for the Liberation of Liberia","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,19990812,81.5,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","JFLL: Joint Forces for the Liberation of Liberia","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,19990812,81.5,"NZEREKORE",-8.3,7.75,"C"
1999,"Violence against civilians","Civilians (Liberia)","JFLL: Joint Forces for the Liberation of Liberia","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,19990812,81.5,"NZEREKORE",-8.3,7.75,"C"
2000,"Riots","Protesters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618490,20000627,81.5,"NZEREKORE",-8.3,7.75,"C"
2000,"Riots","Protesters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Nzerekore","Gaoula",7.76,-9.07,618490,20000627,81.5,"NZEREKORE",-8.3,7.75,"C"
2000,"Riots","Protesters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618490,20000627,81.5,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","RUF: Revolutionary United Front of Sierra Leone","UNAMSIL: United Nations Mission in Sierra Leone (Sierra Leone)","Guinea","Nzerekore","Macenta",8.55,-9.47,618490,20000919,81.5,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Zorzor",7.78,-9.43,618490,20000919,81.5,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","Unidentified Armed Group (Liberia)","Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Macenta",8.55,-9.47,618490,20000919,81.5,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Lofa County","Zorzor",7.78,-9.43,618490,20000919,81.5,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","Unidentified Armed Group (Liberia)","Civilians (Guinea)","Guinea","Nzerekore","Macenta",8.55,-9.47,618490,20000919,81.5,"NZEREKORE",-8.3,7.75,"C"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Bopolu",7.06,-10.48,618490,20020725,81.5,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","Gio and Mano Tribesmen (Pro-Taylor Militia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030804,81.5,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Gio and Mano Tribesmen (Pro-Taylor Militia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030804,81.5,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","Gio and Mano Tribesmen (Pro-Taylor Militia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030804,81.5,"NZEREKORE",-8.3,7.75,"C"
